                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.9462,                0.87064,                 1.2384,                0.88782,                0.85151,                0.89466,                0.71526,                0.76315,                0.58878,                 1.1044,               0.003268,               0.003268,               0.003268
                     37,                0.93723,                0.85479,                 1.2312,                0.88784,                0.84603,                0.89141,                0.71448,                0.76525,                0.59291,                 1.1084,                0.00307,                0.00307,                0.00307
                     38,                 0.9299,                0.83385,                 1.2236,                0.89406,                0.84647,                0.89343,                0.71688,                0.75842,                0.58705,                 1.1009,               0.002872,               0.002872,               0.002872
                     39,                0.92247,                0.82375,                 1.2212,                0.88572,                0.85506,                0.89405,                0.71874,                0.75689,                0.58087,                    1.1,               0.002674,               0.002674,               0.002674
                     40,                0.91495,                0.81854,                 1.2149,                0.88621,                 0.8519,                0.89474,                 0.7185,                0.75594,                0.57763,                 1.0995,               0.002476,               0.002476,               0.002476
                     41,                0.84384,                0.63407,                 1.1996,                0.89463,                0.85108,                0.89381,                0.71859,                  0.754,                 0.5696,                 1.0975,               0.002278,               0.002278,               0.002278
                     42,                0.82392,                 0.6015,                 1.1852,                0.88861,                0.85971,                0.89587,                0.72086,                0.74782,                0.56514,                 1.0932,                0.00208,                0.00208,                0.00208
                     43,                0.81784,                0.59046,                 1.1823,                0.90005,                0.85599,                0.89826,                0.72702,                0.74314,                0.56138,                 1.0892,               0.001882,               0.001882,               0.001882
                     44,                0.80439,                0.57443,                 1.1745,                 0.8962,                0.86061,                0.89949,                0.72905,                0.73872,                0.55262,                 1.0867,               0.001684,               0.001684,               0.001684
                     45,                0.79335,                0.56334,                 1.1666,                0.89547,                 0.8631,                0.89793,                 0.7279,                0.73633,                0.55266,                 1.0846,               0.001486,               0.001486,               0.001486
                     46,                0.78323,                0.54714,                 1.1562,                0.90112,                0.85281,                0.89871,                 0.7282,                0.73585,                 0.5498,                 1.0818,               0.001288,               0.001288,               0.001288
                     47,                0.76963,                0.52744,                  1.149,                0.90097,                0.85698,                0.89954,                 0.7274,                0.73721,                0.55134,                 1.0841,                0.00109,                0.00109,                0.00109
                     48,                0.76406,                0.51893,                 1.1394,                0.89826,                0.86051,                0.89884,                0.72943,                0.73767,                0.54692,                 1.0838,               0.000892,               0.000892,               0.000892
                     49,                0.75312,                0.51102,                 1.1372,                0.89315,                0.86464,                0.89869,                0.73029,                0.73689,                0.54277,                  1.083,               0.000694,               0.000694,               0.000694
                     50,                0.74269,                0.50191,                 1.1278,                0.90101,                0.86187,                0.89895,                0.73084,                0.73328,                  0.543,                 1.0807,               0.000496,               0.000496,               0.000496
